studied_layer,proj_method,proj_strength,ds,avg_delta,irrelevant_modifications
mlp10-17,torch_inlp,default,men_v_women,0.02778922,0.0
mlp10-17,torch_inlp,proj1,men_v_women,0.024489593,0.003131637
mlp10-17,torch_inlp,proj4,men_v_women,0.026495058,0.009555092
mlp10-17,torch_inlp,proj8,men_v_women,0.026943455,0.013022703
mlp10-17,torch_inlp,default,naive_black_v_white,0.015240234,0.0
mlp10-17,torch_inlp,proj1,naive_black_v_white,0.012437254,0.004577798
mlp10-17,torch_inlp,proj4,naive_black_v_white,0.011850381,0.0047961054
mlp10-17,torch_inlp,proj8,naive_black_v_white,0.009206032,0.046510745
mlp10-17,torch_inlp,default,bash_v_powershell,0.023812873,0.0
mlp10-17,torch_inlp,proj1,bash_v_powershell,0.02573272,0.008581539
mlp10-17,torch_inlp,proj4,bash_v_powershell,0.028446317,0.020270862
mlp10-17,torch_inlp,proj8,bash_v_powershell,0.02668503,0.022540808
mlp10-17,svm_inlp,default,men_v_women,0.02778922,0.0
mlp10-17,svm_inlp,proj1,men_v_women,0.024967592,0.0019006729
mlp10-17,svm_inlp,proj4,men_v_women,0.022658143,0.005637616
mlp10-17,svm_inlp,proj8,men_v_women,0.021321792,0.008969113
mlp10-17,svm_inlp,default,naive_black_v_white,0.015240234,0.0
mlp10-17,svm_inlp,proj1,naive_black_v_white,0.011159238,0.0045388876
mlp10-17,svm_inlp,proj4,naive_black_v_white,0.013241324,0.011477092
mlp10-17,svm_inlp,proj8,naive_black_v_white,0.012993649,0.033274375
mlp10-17,svm_inlp,default,bash_v_powershell,0.023812873,0.0
mlp10-17,svm_inlp,proj1,bash_v_powershell,0.024027064,0.0023888154
mlp10-17,svm_inlp,proj4,bash_v_powershell,0.027391497,0.0053210026
mlp10-17,svm_inlp,proj8,bash_v_powershell,0.028410953,0.0155914165
mlp10-17,mlp,default,men_v_women,0.02778922,0.0
mlp10-17,mlp,proj1,men_v_women,0.04314842,0.07748705
mlp10-17,mlp,proj4,men_v_women,0.017937586,0.035232294
mlp10-17,mlp,proj8,men_v_women,5.502984e-08,0.49362937
mlp10-17,mlp,default,naive_black_v_white,0.015240234,0.0
mlp10-17,mlp,proj1,naive_black_v_white,0.007817048,0.015177136
mlp10-17,mlp,proj4,naive_black_v_white,0.011806225,0.01853332
mlp10-17,mlp,proj8,naive_black_v_white,0.009570882,0.042041514
mlp10-17,mlp,default,bash_v_powershell,0.023812873,0.0
mlp10-17,mlp,proj1,bash_v_powershell,0.025830135,0.0019258428
mlp10-17,mlp,proj4,bash_v_powershell,0.02209971,0.01238954
mlp10-17,mlp,proj8,bash_v_powershell,0.022751123,0.0056108227
res10-17,torch_inlp,default,men_v_women,0.02778922,0.0
res10-17,torch_inlp,proj1,men_v_women,0.019558277,0.012954089
res10-17,torch_inlp,proj4,men_v_women,0.021094246,0.0059804083
res10-17,torch_inlp,proj8,men_v_women,0.01784804,0.015374643
res10-17,torch_inlp,default,naive_black_v_white,0.015240234,0.0
res10-17,torch_inlp,proj1,naive_black_v_white,0.008872685,0.010086509
res10-17,torch_inlp,proj4,naive_black_v_white,0.008459958,0.019998964
res10-17,torch_inlp,proj8,naive_black_v_white,0.0065107225,0.03731295
res10-17,torch_inlp,default,bash_v_powershell,0.023812873,0.0
res10-17,torch_inlp,proj1,bash_v_powershell,0.031083798,0.02004769
res10-17,torch_inlp,proj4,bash_v_powershell,0.030437227,0.020801865
res10-17,torch_inlp,proj8,bash_v_powershell,0.02392155,0.04336527
res10-17,svm_inlp,default,men_v_women,0.02778922,0.0
res10-17,svm_inlp,proj1,men_v_women,0.025246095,0.011947935
res10-17,svm_inlp,proj4,men_v_women,0.027620668,0.011936342
res10-17,svm_inlp,proj8,men_v_women,0.030648734,0.035075806
res10-17,svm_inlp,default,naive_black_v_white,0.015240234,0.0
res10-17,svm_inlp,proj1,naive_black_v_white,0.015974369,0.039820336
res10-17,svm_inlp,proj4,naive_black_v_white,0.0074931323,0.012021923
res10-17,svm_inlp,proj8,naive_black_v_white,0.0057101725,0.025282044
res10-17,svm_inlp,default,bash_v_powershell,0.023812873,0.0
res10-17,svm_inlp,proj1,bash_v_powershell,0.01824542,0.014497239
res10-17,svm_inlp,proj4,bash_v_powershell,0.020974036,0.020524122
res10-17,svm_inlp,proj8,bash_v_powershell,0.023797061,0.02854396
res10-17,mlp,default,men_v_women,0.02778922,0.0
res10-17,mlp,proj1,men_v_women,0.029893935,0.030234873
res10-17,mlp,proj4,men_v_women,0.029689055,0.055775307
res10-17,mlp,proj8,men_v_women,0.028678447,0.046732724
res10-17,mlp,default,naive_black_v_white,0.015240234,0.0
res10-17,mlp,proj1,naive_black_v_white,0.007595971,0.025804946
res10-17,mlp,proj4,naive_black_v_white,0.007567233,0.014827827
res10-17,mlp,proj8,naive_black_v_white,0.012316781,0.023747027
res10-17,mlp,default,bash_v_powershell,0.023812873,0.0
res10-17,mlp,proj1,bash_v_powershell,0.037558544,0.011296082
res10-17,mlp,proj4,bash_v_powershell,0.029386159,0.040798515
res10-17,mlp,proj8,bash_v_powershell,0.027209733,0.06681085
mlp8-12,torch_inlp,default,men_v_women,0.02778922,0.0
mlp8-12,torch_inlp,proj1,men_v_women,0.02747626,0.0019720495
mlp8-12,torch_inlp,proj4,men_v_women,0.02949503,0.00404779
mlp8-12,torch_inlp,proj8,men_v_women,0.030069357,0.0052686273
mlp8-12,torch_inlp,default,naive_black_v_white,0.015240234,0.0
mlp8-12,torch_inlp,proj1,naive_black_v_white,0.014338401,0.0013945103
mlp8-12,torch_inlp,proj4,naive_black_v_white,0.012998345,0.0040773926
mlp8-12,torch_inlp,proj8,naive_black_v_white,0.010592004,0.013810488
mlp8-12,torch_inlp,default,bash_v_powershell,0.023812873,0.0
mlp8-12,torch_inlp,proj1,bash_v_powershell,0.02377598,0.0061311256
mlp8-12,torch_inlp,proj4,bash_v_powershell,0.023309655,0.011584465
